time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1712899672.64599299,0.00517565,5602,0.00071843,0.00000000,0,0.00000053,653,876,367,0.00000000
1712899672.74588895,0.00520074,5567,0.00070854,0.00000000,0,0.00000072,876,989,254,0.02182454
1712899672.84576774,0.00633013,5721,0.00049832,0.00000000,0,0.00000101,989,1029,169,0.02042093
1712899672.94596148,0.00448971,5567,0.00069287,0.00000000,0,0.00000056,1029,1084,210,0.01755708
1712899673.04589796,0.00511921,5582,0.00093502,0.00000000,0,0.00000052,1084,947,166,0.02701913
1712899673.14579654,0.00429058,5649,0.00026112,0.00000000,0,0.00000054,947,1087,151,0.01951969
1712899673.24699402,0.00425379,5652,0.00026537,0.00000000,0,0.00000057,1087,1176,120,0.03318641
1712899673.34586596,0.00398754,5612,0.00033075,0.00000000,0,0.00000048,1176,1224,117,0.01495386
1712899673.44605780,0.00388086,5774,0.00023285,0.00000000,0,0.00000050,1224,1243,88,0.01329751
1712899673.54696345,0.00428542,5649,0.00036571,0.00000000,0,0.00000046,1243,1246,106,0.01673682
1712899673.64629102,0.00448301,5711,0.00022041,0.00000000,0,0.00000052,1246,1297,95,0.01323224
1712899673.74577832,0.00414793,5846,0.00028736,0.00000000,0,0.00000045,1297,1329,95,0.01329453
1712899673.84600902,0.00399070,5877,0.00025671,0.00000000,0,0.00000062,1329,1344,89,0.01204499
1712899673.94595098,0.00382383,5970,0.00025428,0.00000000,0,0.00000049,1344,1381,76,0.02606787
1712899674.04628873,0.00415278,5859,0.00030313,0.00000000,0,0.00000046,1381,1356,97,0.01339911
1712899674.14589524,0.00414878,6002,0.00026035,0.00000000,0,0.00000055,1356,1386,73,0.01475470
1712899674.24632120,0.00414019,5815,0.00031807,0.00000000,0,0.00000058,1386,1393,94,0.01495333
1712899674.34591722,0.00426302,5947,0.00024180,0.00000000,0,0.00000088,1393,1423,81,0.01527659
1712899674.44590950,0.00409886,5891,0.00027340,0.00000000,0,0.00000054,1423,1436,83,0.01688190
1712899674.54590011,0.00498478,5948,0.00031180,0.00000000,0,0.00000062,1436,1391,70,0.01810978
1712899674.64587831,0.00434891,5913,0.00020620,0.00000000,0,0.00000054,1391,1433,63,0.02177545
1712899674.74582887,0.00429518,5934,0.00022254,0.00000000,0,0.00000048,1433,1432,51,0.02019162
1712899674.84585929,0.00443825,5901,0.00015801,0.00000000,0,0.00000043,1432,1468,58,0.02210994
1712899674.94591618,0.00457951,5908,0.00023222,0.00000000,0,0.00000055,1468,1492,70,0.02490966
1712899675.04694796,0.00422049,5902,0.00030598,0.00000000,0,0.00000062,1492,1480,82,0.02472252
1712899675.14624333,0.00563578,5893,0.00026042,0.00000000,0,0.00000079,1480,1493,67,0.02366564
